"Export Settings","Export Settings"
"Choose the website to export these orders","Wählen Sie die Website aus, von der Sie die Bestellungen exportieren wollen"
"Run Export CSV","CSV Export starten"
"Yes","Ja"
"No","Nein"
"Until","Bestellungen seit"
"1 week","1 Woche"
"2 weeks","2 Wochen"
"1 month","1 Monat"
"2 months","2 Monate"
"3 months","3 Monate"
"4 months","4 Monate"
"5 months","5 Monate"
"6 months","6 Monate"
"7 months","7 Monate"
"8 months","8 Monate"
"9 months","9 Monate"
"10 months","10 Monate"
"11 months","11 Monate"
"12 months","12 Monate"
"Request product\'s review?","Produktbewertungen abfragen ?"
"Verified Reviews Tabs","Echte Bewertungen Tabs"
"Export","Export"
"Verified Reviews Form","Echte Bewertungen Formular"
"version","Version"
"Form","Form"
"VerifiedReviews","Echte Bewertungen"
"Management","Management"
"Configuration","Konfiguration"
"Check Installation","Check Installation"
"You must set the configuration VerifiedReviews according to a website module. Select from the list on the left, the website that you want to set","Sie müssen die Konfiguration des Moduls Echte Bewertungen gemäß der Website vornehmen. Wählen Sie aus der Liste links die Website aus, welche Sie konfigurieren möchten"
"System integration","Systemintegration"
"Enable Module on this Website","Das Modul für diese Website aktivieren"
"By activating the module, you will reap your reviews sites. To harvest the products reviews, go to the last part of the configuration","Mit der Aktivierung können Sie bereits Shopbewertungen einholen. Um auch Produktbewertungen zu sammeln, gehen Sie bitte ans Ende der Konfiguration"
"IdWebsite","IdWebsite"
"Secret Key","Secret Key"
"Table Name","Table Name"
"Status","Status"
"Product Reviews","Produktbewertungen"
"Number of reviews","Anzahl der Bewertungen"
"Average rating","Durchschnittsnote"
"View the trust certificate","Vertrauenszertifikat anzeigen"
"More Reviews...","Weitere Kommentare..."
"No reviews for this product.","Keine Bewertungen für dieses Produkt"
"the","am"
"d/m/Y","d/m/Y"
"Comments of","Kommentar von"
"Webmaster","Webmaster"
"Moderator","Moderator"
"on","zu"
"Show conversation","Austausch mit dem Kunden anzeigen"
"Hide conversation","Austausch mit dem Kunden verbergen"
"%d Review(s)","%d Bewertungen"
"%d Review","%d Bewertung"
"%d Reviews","%d Bewertung(en)"
"See the review(s)","Bewertungen ansehen"
